productid,productname,category,subcategory
1,Global Deluxe High-Back Manager's Chair,Furniture,Chairs
2,Logitech G600 MMO Gaming Mouse,Technology,Accessories
3,"Plantronics CS 50-USB - headset - Convertible, Monaural",Technology,Phones
4,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies
5,Large Capacity Hanging Post Binders,Office Supplies,Binders
6,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances
7,Ultra Commercial Grade Dual Valve Door Closer,Furniture,Furnishings
8,Nu-Dell Oak Frame,Furniture,Furnishings
9,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",Office Supplies,Appliances
10,Nu-Dell Float Frame 11 x 14 1/2,Furniture,Furnishings
11,Contico 72H Heavy-Duty Storage System,Office Supplies,Storage
12,Kleencut Forged Office Shears by Acme United Corporation,Office Supplies,Supplies
13,Executive Impressions 13 Chairman Wall Clock,Furniture,Furnishings
14,Cardinal Holdit Business Card Pockets,Office Supplies,Binders
15,Avery 501,Office Supplies,Labels
16,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Furnishings
17,AT&T SB67148 SynJ,Technology,Phones
18,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs
19,Euro Pro Shark Stick Mini Vacuum,Office Supplies,Appliances
20,AT&T 17929 Lendline Telephone,Technology,Phones
21,Stacking Trays by OIC,Furniture,Furnishings
22,DYMO CardScan Personal V9 Business Card Scanner,Technology,Machines
23,Xerox 1973,Office Supplies,Paper
24,Hanging Personal Folder File,Office Supplies,Storage
25,Cisco SPA112 2 Port Phone Adapter,Technology,Phones
26,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Office Supplies,Binders
27,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,Appliances
28,Newell 312,Office Supplies,Art
29,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Office Supplies,Art
30,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage
31,Advantus Panel Wall Acrylic Frame,Furniture,Furnishings
32,Imation Clip USB flash drive - 8 GB,Technology,Accessories
33,Xerox 1969,Office Supplies,Paper
34,Acme 10 Easy Grip Assistive Scissors,Office Supplies,Supplies
35,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders
36,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Office Supplies,Binders
37,Newell 344,Office Supplies,Art
38,Avery 497,Office Supplies,Labels
39,"REDIFORM Incoming/Outgoing Call Register, 11 X 8 1/2, 100 Messages",Office Supplies,Paper
40,Translucent Push Pins by OIC,Office Supplies,Fasteners
41,Zipper Ring Binder Pockets,Office Supplies,Binders
42,12 Colored Short Pencils,Office Supplies,Art
43,"Bevis Round Conference Table Top, X-Base",Furniture,Tables
44,Things To Do Today Spiral Book,Office Supplies,Paper
45,Staples in misc. colors,Office Supplies,Art
46,Xerox 1917,Office Supplies,Paper
47,Newell 31,Office Supplies,Art
48,Avaya 4621SW VoIP phone,Technology,Phones
49,"Personal Folder Holder, Ebony",Office Supplies,Storage
50,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,Furnishings
51,Boston 16750 Black Compact Battery Pencil Sharpener,Office Supplies,Art
52,Mediabridge Sport Armband iPhone 5s,Technology,Phones
53,SpineVue Locking Slant-D Ring Binders by Cardinal,Office Supplies,Binders
54,Dixon Ticonderoga Pencils,Office Supplies,Art
55,Ibico Plastic and Wire Spiral Binding Combs,Office Supplies,Binders
56,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art
57,GE 30522EE2,Technology,Phones
58,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs
59,GBC Twin Loop Wire Binding Elements,Office Supplies,Binders
60,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper
61,Wausau Papers Astrobrights Colored Envelopes,Office Supplies,Envelopes
62,Newell 346,Office Supplies,Art
63,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines
64,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,Art
65,Fellowes 8 Outlet Superior Workstation Surge Protector,Office Supplies,Appliances
66,"BlueLounge Milo Smartphone Stand, White/Metallic",Technology,Phones
67,Ibico EPK-21 Electric Binding System,Office Supplies,Binders
68,ClearOne CHATAttach 160 - speaker phone,Technology,Phones
69,Pressboard Hanging Data Binders for Unburst Sheets,Office Supplies,Binders
70,Safco Commercial Shelving,Office Supplies,Storage
71,Multimedia Mailers,Office Supplies,Envelopes
72,4009 Highlighters by Sanford,Office Supplies,Art
73,OtterBox Commuter Series Case - Samsung Galaxy S4,Technology,Phones
74,Canon PC1080F Personal Copier,Technology,Copiers
75,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,Office Supplies,Appliances
76,PureGear Roll-On Screen Protector,Technology,Phones
77,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories
78,Newell 334,Office Supplies,Art
79,Avery 480,Office Supplies,Labels
80,Clarity 53712,Technology,Phones
81,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2 X 14 7/8",Office Supplies,Binders
82,Compact Automatic Electric Letter Opener,Office Supplies,Supplies
83,Xerox 1965,Office Supplies,Paper
84,Fellowes Officeware Wire Shelving,Office Supplies,Storage
85,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Office Supplies,Envelopes
86,"Telephone Message Books with Fax/Mobile Section, 4 1/4 x 6",Office Supplies,Paper
87,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage
88,White Computer Printout Paper by Universal,Office Supplies,Paper
89,Cherry 142-key Programmable Keyboard,Technology,Accessories
90,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Envelopes
91,Classic Ivory Antique Telephone ZL1810,Technology,Phones
92,"Ampad Poly Cover Wirebound Steno Book, 6 x 9 Assorted Colors, Gregg Ruled",Office Supplies,Paper
93,Newell 332,Office Supplies,Art
94,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders
95,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage
96,"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs
97,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases
98,Model L Table or Wall-Mount Pencil Sharpener,Office Supplies,Art
